snapped_at,coin,market_cap,price,total_volume
2024-03-27 00:00:00+00:00,btc-usd-max,1375728580463.2524,70082.05122475982,36257324508.56845
2024-03-27 00:00:00+00:00,eth-usd-max,430639202176.3594,3591.5485279028403,20094722140.101074
2024-03-27 00:00:00+00:00,usdt-usd-max,104171067977.45192,1.001435217557169,32023144155.41204
2024-03-27 00:00:00+00:00,bnb-usd-max,89155437215.42749,580.8520230009177,1693306626.7746503
2024-03-27 00:00:00+00:00,sol-usd-max,84838706571.2534,191.2361450744696,4010909565.84501
2024-03-27 00:00:00+00:00,steth-usd-max,34765862572.12553,3590.4985797891445,132485917.07755315
2024-03-27 00:00:00+00:00,xrp-usd-max,34676270602.72719,0.6328659194902784,1759776337.9005775
2024-03-27 00:00:00+00:00,usdc-usd-max,32247836171.99082,0.9999675459066996,8587868347.693143
2024-03-27 00:00:00+00:00,doge-usd-max,26140142029.04529,0.1825288513451653,3062788086.9008045
2024-03-27 00:00:00+00:00,ada-usd-max,23425863356.52765,0.6653790384572502,607663811.7648048
2024-03-27 00:00:00+00:00,avax-usd-max,21077240258.155663,55.90560536661762,942767271.5798584
2024-03-27 00:00:00+00:00,shib-usd-max,18040553690.793808,3.0699468390810206e-05,1647980498.5732863
2024-03-27 00:00:00+00:00,ton-usd-max,17449266363.129208,5.037993943968652,292978554.7926647
2024-03-27 00:00:00+00:00,dot-usd-max,13028996507.219675,9.70040818408168,379983348.5599448
2024-03-27 00:00:00+00:00,link-usd-max,11739367402.991226,20.03646167949438,642475822.9620428
2024-03-27 00:00:00+00:00,wbtc-usd-max,10862268552.618795,69950.90350339952,325876083.73381555
2024-03-27 00:00:00+00:00,trx-usd-max,10591107950.99413,0.120863144135976,404028567.02806383
2024-03-27 00:00:00+00:00,matic-usd-max,9704222605.49022,1.046956993900217,448578247.7054379
2024-03-27 00:00:00+00:00,Uni-usd-max,9564380338.333405,12.71249240854875,183124857.5856251
2024-03-27 00:00:00+00:00,bch-usd-max,9445444711.392752,480.6171381938494,559892673.7281792
2024-03-27 00:00:00+00:00,icp-usd-max,8823625055.722754,19.137002046456708,737853508.4160256
2024-03-27 00:00:00+00:00,near-usd-max,7945106559.039807,7.666950967097799,790317704.7860757
2024-03-27 00:00:00+00:00,apt-usd-max,7175838093.918407,18.140338746128133,584691690.543202
2024-03-27 00:00:00+00:00,ltc-usd-max,7118305758.957108,95.78752691844736,1100173887.7956662
2024-03-27 00:00:00+00:00,leo-usd-max,5609886846.307336,6.061607313450554,2458937.045066323
2024-03-27 00:00:00+00:00,stx-usd-max,5011700488.63472,3.4684611862076062,132310579.74280484
2024-03-27 00:00:00+00:00,fil-usd-max,4965074888.140881,9.443521176585763,418067854.3120485
2024-03-27 00:00:00+00:00,dai-usd-max,4826496680.531846,1.0005756668313857,422763667.6160008
2024-03-27 00:00:00+00:00,atom-usd-max,4770481644.505593,12.229098654596848,178550265.69411722
2024-03-27 00:00:00+00:00,etc-usd-max,4700475325.217578,32.18204267752533,235825242.48612624
2024-03-27 00:00:00+00:00,arb-usd-max,4510070414.461962,1.701646236221512,482944302.7459287
2024-03-27 00:00:00+00:00,render-usd-max,4239915661.43206,11.131946118108004,297394600.8670674
2024-03-27 00:00:00+00:00,hbar-usd-max,4040300032.9650383,0.1201536374146919,133740928.50164208
2024-03-27 00:00:00+00:00,okb-usd-max,3998441356.607118,66.80398777236238,16406237.288253412
2024-03-27 00:00:00+00:00,xlm-usd-max,3971664077.237189,0.1383688883245639,108579852.94696456
2024-03-27 00:00:00+00:00,cro-usd-max,3965431046.081965,0.1493334541695587,29665723.805337016
2024-03-27 00:00:00+00:00,op-usd-max,3951725319.659588,3.9278810644297577,343681838.1073737
2024-03-27 00:00:00+00:00,tao-usd-max,3788453882.467909,584.4515210704363,22613068.954219643
2024-03-27 00:00:00+00:00,grt-usd-max,3755460331.622317,0.3980105570683698,160667177.8620689
2024-03-27 00:00:00+00:00,inj-usd-max,3445699027.673118,39.0912688886757,257365629.8616683
2024-03-27 00:00:00+00:00,pepe-usd-max,3377178002.635133,8.044892426334462e-06,893621990.0199871
2024-03-27 00:00:00+00:00,wif-usd-max,3295439926.4227767,3.3046416792155737,575975940.8315272
2024-03-27 00:00:00+00:00,vet-usd-max,3269320363.5675817,0.0450012920690018,103335485.65952352
2024-03-27 00:00:00+00:00,rune-usd-max,3164773430.3617134,9.4878079050697,794435319.5374125
2024-03-27 00:00:00+00:00,kas-usd-max,3163975788.350819,0.1376145920999009,69294268.69311364
2024-03-27 00:00:00+00:00,theta-usd-max,3066409278.474816,3.070314652100621,76577406.73806228
2024-03-27 00:00:00+00:00,mnt-usd-max,3017942130.454224,0.934622615984146,260833310.41953915
2024-03-27 00:00:00+00:00,mkr-usd-max,2971999395.0482697,3218.4250984430464,132111068.65234645
2024-03-27 00:00:00+00:00,fet-usd-max,2962679133.7904334,2.845984195560977,744948762.286388
2024-03-27 00:00:00+00:00,ldo-usd-max,2787001604.476445,3.132344188881342,91009956.56407356
2024-03-27 00:00:00+00:00,ar-usd-max,2695403245.197692,41.21043003963348,107082155.51601984
2024-03-27 00:00:00+00:00,fdusd-usd-max,2624257312.524757,0.9993580355125188,6195737858.852551
2024-03-27 00:00:00+00:00,GALA-usd-max,2533048234.0095725,0.0682434283678719,369823857.7039054
2024-03-27 00:00:00+00:00,xmr-usd-max,2448156187.0360875,135.37428736939438,76312736.26757272
2024-03-27 00:00:00+00:00,tia-usd-max,2400323135.661726,13.887711054691977,110461574.80866577
