date,coin_name,coin_symbol,price_usd,market_cap_usd
01-03-2025,Bitcoin,btc,84441.9012237131,1674754437110.342
01-03-2025,Ethereum,eth,2235.204208608959,269516471615.1616
01-03-2025,XRP,xrp,2.1465990447641925,124392769084.65245
01-03-2025,Tether,usdt,0.9994450907291423,142108250750.88724
02-03-2025,WhiteBIT Coin,wbt,26.49894721290192,3816463482.790718
02-03-2025,Monero,xmr,223.64753581649234,4118541566.042693
02-03-2025,Ondo,ondo,1.0240926474665601,3233181265.4271545
02-03-2025,NEAR Protocol,near,3.2654329840412695,3879277999.4291143
03-03-2025,Cosmos Hub,atom,4.900937805886395,2147211203.4225528
03-03-2025,Sonic (prev. FTM),s,0.7497088119916289,2382265836.6574297
03-03-2025,Lombard Staked BTC,lbtc,94338.93827953309,1915342472.9964767
03-03-2025,Arbitrum,arb,0.4626281120244091,2041712791.7597785
04-03-2025,Maker,mkr,1445.8146815961275,1233114182.825837
04-03-2025,Movement,move,0.42294900856388234,1016470375.6635051
04-03-2025,Rocket Pool ETH,reth,2421.5174362146677,1077024566.1194258
04-03-2025,Immutable,imx,0.6354579270278906,1128532776.1250944
04-03-2025,Stacks,stx,0.7286447674772262,1104148698.4116712
05-03-2025,Story,ip,5.547633320288255,1389721544.7019815
05-03-2025,Kelp DAO Restaked ETH,rseth,2252.0588959624965,1235270482.5459394
05-03-2025,Quant,qnt,88.24849632681068,1282709286.8431349
05-03-2025,Injective,inj,11.112701118635732,1085132527.4758713
05-03-2025,XDC Network,xdc,0.07493730159110178,1175981360.896728
