snapped_at,price,market_cap,total_volume
2023-09-20 00:00:00+00:00,3.96461719828373e-07,377230967.8660153,17814418.04101524
2023-09-21 00:00:00+00:00,3.8841794009026324e-07,369285128.7085933,16406907.39123624
2023-09-22 00:00:00+00:00,3.827437528788999e-07,364335233.5622519,16221601.358347556
2023-09-23 00:00:00+00:00,3.8497306397411757e-07,365318224.4584488,11955357.773252266
2023-09-24 00:00:00+00:00,3.818450919143325e-07,363764154.2642728,10900928.839912685
2023-09-25 00:00:00+00:00,3.822975185994074e-07,363954254.81851536,11089314.393058874
2023-09-26 00:00:00+00:00,3.8320841978020934e-07,364482471.67551553,16872244.306116514
2023-09-27 00:00:00+00:00,3.826320757359073e-07,364395241.0604355,14914007.102309735
2023-09-28 00:00:00+00:00,3.790264639821068e-07,360257821.3611671,14999058.134475008
2023-09-29 00:00:00+00:00,3.833263203197828e-07,365114396.7869565,17034067.401438393
2023-09-30 00:00:00+00:00,3.873839720207929e-07,369411913.55294776,17775113.368548457
2023-10-01 00:00:00+00:00,3.871338363524463e-07,368839897.4463316,10292243.907725688
2023-10-02 00:00:00+00:00,3.925280218726764e-07,373824762.89562327,13768735.966530384
2023-10-03 00:00:00+00:00,3.863064738758474e-07,366883802.6849589,11604191.439557398
2023-10-04 00:00:00+00:00,3.859725571797294e-07,367248065.3777168,9191469.59810714
2023-10-05 00:00:00+00:00,3.846170380797832e-07,366100091.4307514,8222466.717926195
2023-10-06 00:00:00+00:00,3.816408791416991e-07,362785062.2032966,7320001.42490639
2023-10-07 00:00:00+00:00,3.836910006730808e-07,365037101.6015213,7132851.114619967
2023-10-08 00:00:00+00:00,3.8194190202981917e-07,363309774.9850225,13094399.70953837
2023-10-09 00:00:00+00:00,3.778901258884508e-07,359771751.884328,14988444.26498393
2023-10-10 00:00:00+00:00,3.7183644255088454e-07,353961933.1828582,15215349.34611022
2023-10-11 00:00:00+00:00,3.721593245179089e-07,354009851.3533546,13334296.44721339
2023-10-12 00:00:00+00:00,3.720917906448753e-07,354437084.9199866,13652896.97246656
2023-10-13 00:00:00+00:00,3.7045782512814713e-07,352131322.5383884,12577569.52137306
2023-10-14 00:00:00+00:00,3.751155768318894e-07,356893105.16477793,12150396.321463903
2023-10-15 00:00:00+00:00,3.68036185598706e-07,350884214.03655374,10781366.07894378
2023-10-16 00:00:00+00:00,3.7036389545734346e-07,352227458.5708985,11238800.049824754
2023-10-17 00:00:00+00:00,3.859044078953304e-07,367398774.6367448,15277436.796140391
2023-10-18 00:00:00+00:00,3.727217213384013e-07,354646142.84132487,13962137.403350271
2023-10-19 00:00:00+00:00,3.7483357466671093e-07,356608597.4411902,13983026.192519732
2023-10-20 00:00:00+00:00,3.736396260226477e-07,354923495.62465614,13603618.49614981
2023-10-21 00:00:00+00:00,3.780492422260094e-07,359437243.7599792,13050095.37210279
