snapped_at,price,market_cap,total_volume
2021-01-27 00:00:00+00:00,6.93612479501509,161821128.15446663,13259944.12607942
2021-01-28 00:00:00+00:00,6.93612479501509,161821128.15446663,13259944.12607942
2021-01-29 00:00:00+00:00,7.153618419151332,166808753.28447136,6315208.61828203
2021-01-30 00:00:00+00:00,6.398993964937578,148769402.22470903,3044608.291292581
2021-01-31 00:00:00+00:00,9.030796720066755,208306744.04158643,6735979.189734877
2021-02-01 00:00:00+00:00,9.772269193397891,227287820.59187925,14277052.229730578
2021-02-02 00:00:00+00:00,9.790270095239077,228290614.9931129,10146514.023916598
2021-02-03 00:00:00+00:00,9.359083610827652,218085517.20182168,74748951.28395648
2021-02-04 00:00:00+00:00,8.833174488815708,205821816.4302438,19430289.51621412
2021-02-05 00:00:00+00:00,8.681318886689777,202428251.46136877,19671564.38730321
2021-02-06 00:00:00+00:00,10.742533722801776,246877323.7955053,45879552.3494377
2021-02-07 00:00:00+00:00,10.440390528517089,245763871.16702643,21360162.081295077
2021-02-08 00:00:00+00:00,10.062969946465362,234270346.70078084,11061470.17403832
2021-02-09 00:00:00+00:00,10.097994714493623,234684065.1023624,15834943.855223749
2021-02-10 00:00:00+00:00,11.355973831700217,264233719.03605577,23436130.65180601
2021-02-11 00:00:00+00:00,11.39188204138629,265127366.7523277,18944202.32577863
2021-02-12 00:00:00+00:00,12.580736748869414,293143772.1468796,14573356.9010343
2021-02-13 00:00:00+00:00,14.622234812309785,338777772.4516182,42000951.27541586
2021-02-14 00:00:00+00:00,14.759596564504086,344300983.88499355,19009371.9605385
2021-02-15 00:00:00+00:00,17.688056048221693,410855342.5924533,62318038.16786616
2021-02-16 00:00:00+00:00,19.0297054280359,442165484.0424044,73029461.72151577
2021-02-17 00:00:00+00:00,19.19092779505469,448812672.6482579,35291941.46625601
2021-02-18 00:00:00+00:00,17.211971183109693,400344379.9519424,27801219.92826077
2021-02-19 00:00:00+00:00,19.14688002618189,446757992.8692392,29894768.96972112
2021-02-20 00:00:00+00:00,18.49428767653125,425916756.21663874,12236147.582465367
2021-02-21 00:00:00+00:00,18.85245384344437,435758419.2564988,22575776.757529512
2021-02-22 00:00:00+00:00,21.97003031631088,515030982.03428566,89081697.84094256
2021-02-23 00:00:00+00:00,22.695696795793594,528832476.43018,65579521.723794825
2021-02-24 00:00:00+00:00,21.447706539177315,497100734.8779576,79827626.65293421
2021-02-25 00:00:00+00:00,20.977862026769248,486013561.68696153,64026602.00786213
2021-02-26 00:00:00+00:00,20.26671664116678,474667407.1071804,44240669.38690433
2021-02-27 00:00:00+00:00,19.938707992830444,464591874.81835806,47461754.34881189
2021-02-28 00:00:00+00:00,20.744387364391766,483934753.695824,20712577.09091288
2021-03-01 00:00:00+00:00,20.772330791557703,485418039.07318527,66238121.48811994
2021-03-02 00:00:00+00:00,29.254330129946027,682171651.0340519,126537556.1592243
2021-03-03 00:00:00+00:00,29.94000758834164,686207805.1141434,125951034.72681622
2021-03-04 00:00:00+00:00,32.540261084074174,759414378.7101501,128558900.65626828
2021-03-05 00:00:00+00:00,39.24395159440994,913482737.5321428,247048818.0380461
2021-03-06 00:00:00+00:00,34.7252876832155,1060196867.5440692,131351631.6061656
2021-03-07 00:00:00+00:00,34.73913456516081,1057344706.7113136,112389420.94202502
2021-03-08 00:00:00+00:00,34.25224203239844,1042332587.413949,63525116.1327059
2021-03-09 00:00:00+00:00,32.17099051561487,985420383.910498,66188796.22985086
2021-03-10 00:00:00+00:00,35.611299714794335,1077555834.385686,138028561.42596897
2021-03-11 00:00:00+00:00,34.433374924983774,1070529614.9062152,70257477.87516375
2021-03-12 00:00:00+00:00,32.39391583353902,984896615.5525506,68758291.22843556
2021-03-13 00:00:00+00:00,35.071867742192985,1068431557.333073,99451160.04296504
2021-03-14 00:00:00+00:00,37.7344045185035,1140798166.0191395,181090061.46620965
2021-03-15 00:00:00+00:00,36.237715984364726,1101879894.8400798,78259751.51421437
2021-03-16 00:00:00+00:00,34.74385260140439,1059942813.464727,63831368.37323356
2021-03-17 00:00:00+00:00,33.59018229782951,1057597134.506354,46915428.07539728
2021-03-18 00:00:00+00:00,32.35176945563204,1018264199.0088122,47656533.00185826
2021-03-19 00:00:00+00:00,31.622936441949676,997950584.8186486,40588649.20837755
2021-03-20 00:00:00+00:00,31.65681012367166,1002540598.9407518,34268187.76285521
2021-03-21 00:00:00+00:00,31.454358855362152,993820581.8804992,25692387.403963145
2021-03-22 00:00:00+00:00,30.135152438448717,951039458.83773,35323516.75081344
2021-03-23 00:00:00+00:00,26.78614766948233,846549058.8314493,50645744.35907454
2021-03-24 00:00:00+00:00,26.28953050866569,860854748.8151602,66605588.87214287
2021-03-25 00:00:00+00:00,25.542798767244925,836662539.06796,53433622.3393523
2021-03-26 00:00:00+00:00,25.335567411235832,832428855.3353733,42465705.84443604
2021-03-27 00:00:00+00:00,29.806086711133243,969890421.7140096,193554250.7406827
2021-03-28 00:00:00+00:00,27.566127599888997,909321441.1292644,55768822.85909033
2021-03-29 00:00:00+00:00,29.712846898138537,972661053.518089,58289385.7434649
2021-03-30 00:00:00+00:00,32.60363930399464,1071104735.2497834,83127277.57804412
2021-03-31 00:00:00+00:00,32.898105636349,1115690031.106935,59246614.75108006
2021-04-01 00:00:00+00:00,34.334666181193555,1175026021.2579634,105199979.72033016
2021-04-02 00:00:00+00:00,31.081772783039963,1061121953.4864546,52311093.11067844
2021-04-03 00:00:00+00:00,29.704596815823617,1007405093.0688353,55892707.802693255
