snapped_at,price,market_cap,total_volume
2022-11-23 00:00:00+00:00,8.667979763331567e-06,80451705.98033261,2646788.8923991625
2022-11-24 00:00:00+00:00,9.15269006454962e-06,85224485.79246108,2227061.385856437
2022-11-25 00:00:00+00:00,8.855322674044432e-06,82903236.80873442,1521405.5799466686
2022-11-26 00:00:00+00:00,8.823150050738483e-06,81892314.78218323,1542612.034892412
2022-11-27 00:00:00+00:00,8.804567011255116e-06,82361551.9859545,1362359.5359201625
2022-11-28 00:00:00+00:00,9.466857098543984e-06,88226696.71194398,2450173.344763824
2022-11-29 00:00:00+00:00,9.321210206803725e-06,86772548.03316219,1900110.8735002847
2022-11-30 00:00:00+00:00,1.003576762580393e-05,93667421.3298012,2036659.666140312
2022-12-01 00:00:00+00:00,1.1242583734196097e-05,104767470.03742184,2293904.742652126
2022-12-02 00:00:00+00:00,1.0248805140627088e-05,95621861.54159814,2597230.1752409246
2022-12-03 00:00:00+00:00,1.061412068973384e-05,99270785.22112654,2310531.9927475103
2022-12-04 00:00:00+00:00,1.0126458418846251e-05,94923835.1939974,2160886.425510881
2022-12-05 00:00:00+00:00,1.0350642683540254e-05,96406785.96852478,2150887.46103142
2022-12-06 00:00:00+00:00,1.0123707312753616e-05,94078779.20419756,2162279.594974541
2022-12-07 00:00:00+00:00,9.791751359803197e-06,91130636.1447486,1630575.033565837
2022-12-08 00:00:00+00:00,9.336235527095098e-06,87061550.26696438,1292315.6862921736
2022-12-09 00:00:00+00:00,9.607565625545433e-06,89431840.49112202,1247483.9863976075
2022-12-10 00:00:00+00:00,9.44395175833784e-06,88197804.23538177,1347738.6699763397
2022-12-11 00:00:00+00:00,9.35332078349732e-06,87301850.51035646,1208019.156958345
2022-12-12 00:00:00+00:00,9.44549377749867e-06,88017258.05384262,1643450.0719660292
2022-12-13 00:00:00+00:00,9.175442000782396e-06,85849716.7864563,1002856.5817853392
2022-12-14 00:00:00+00:00,9.4963899031358e-06,88655578.02828015,1221517.2662561603
2022-12-15 00:00:00+00:00,9.315302805374131e-06,87516366.97069736,1318366.8324918088
2022-12-16 00:00:00+00:00,1.0392212072644008e-05,96998444.10776086,4105700.792857511
2022-12-17 00:00:00+00:00,9.06250640847147e-06,84101354.42999572,2895614.377185022
2022-12-18 00:00:00+00:00,9.014930359358196e-06,83707111.43394768,1754165.444854334
2022-12-19 00:00:00+00:00,8.972339838722489e-06,83571263.10996798,934211.3751665172
2022-12-20 00:00:00+00:00,8.746459162761433e-06,81579478.97578496,1520086.6087511126
2022-12-21 00:00:00+00:00,9.067665175382534e-06,84253017.48869276,1429939.0606526658
2022-12-22 00:00:00+00:00,9.215886631403373e-06,85924013.70923512,1487748.9073609735
2022-12-23 00:00:00+00:00,9.060244777575484e-06,83673962.50962858,2053061.4309560691
2022-12-24 00:00:00+00:00,9.182919821664024e-06,85519941.05777846,1765654.2999592463
2022-12-25 00:00:00+00:00,9.165840885176934e-06,85433685.87618986,2462102.882135765
2022-12-26 00:00:00+00:00,8.995885038258915e-06,83774039.17208318,4784650.7282716185
2022-12-27 00:00:00+00:00,8.671203797750062e-06,80727191.3177946,4538154.128463561
2022-12-28 00:00:00+00:00,8.651567064873118e-06,81739021.9776923,4439487.268303504
2022-12-29 00:00:00+00:00,8.329266216268066e-06,77662817.8196875,2706928.185306718
2022-12-30 00:00:00+00:00,8.25784058320462e-06,76917400.11315484,1999484.340590836
2022-12-31 00:00:00+00:00,8.105344114245018e-06,75627729.72298153,1973648.510598742
2023-01-01 00:00:00+00:00,8.087865582201705e-06,75417616.30995227,1959222.8368710903
2023-01-02 00:00:00+00:00,7.97195817721379e-06,74352688.60029417,1921440.0616451032
2023-01-03 00:00:00+00:00,8.04716892967153e-06,75108055.87273626,1781280.428419598
2023-01-04 00:00:00+00:00,7.835203336350087e-06,72725407.48680532,1848569.4061634447
2023-01-05 00:00:00+00:00,7.937121006051337e-06,73903706.61973126,2072977.7401408528
2023-01-06 00:00:00+00:00,7.823913802905926e-06,72958605.94316362,1939427.793351865
2023-01-07 00:00:00+00:00,7.768404123486398e-06,72350758.8004982,1725880.862066974
2023-01-08 00:00:00+00:00,7.679447911596294e-06,71557860.2676285,1671427.259689029
2023-01-09 00:00:00+00:00,7.801441396950952e-06,72983395.6442485,1466456.9413958187
2023-01-10 00:00:00+00:00,8.243115661313864e-06,76963208.03468834,1954665.616996426
2023-01-11 00:00:00+00:00,8.18206170509933e-06,76396667.52076523,2545910.7424159218
2023-01-12 00:00:00+00:00,8.37224443220236e-06,76927135.24317582,4053444.209530994
2023-01-13 00:00:00+00:00,8.777155071213417e-06,81772995.07024585,1832656.3141286536
2023-01-14 00:00:00+00:00,9.352605492564282e-06,87793850.6528562,2624096.5683136163
2023-01-15 00:00:00+00:00,9.89075704337566e-06,92250348.69951557,2057764.501879681
2023-01-16 00:00:00+00:00,9.829215011313363e-06,91595861.62855972,1786917.623130446
2023-01-17 00:00:00+00:00,9.95295239847303e-06,92750065.92131604,1805748.0990930467
2023-01-18 00:00:00+00:00,1.0803436233069488e-05,100930060.6891321,3208940.713911437
2023-01-19 00:00:00+00:00,1.0344342593469525e-05,96474738.75845088,4275544.465882235
2023-01-20 00:00:00+00:00,1.052162829737661e-05,97898398.0735541,6097768.103000088
2023-01-21 00:00:00+00:00,1.1050652487195292e-05,102958159.84226646,10660306.031835426
2023-01-22 00:00:00+00:00,1.1160507211176937e-05,105379645.56466237,6617812.050694456
2023-01-23 00:00:00+00:00,1.1738435935222093e-05,108170465.9081217,4786676.695170678
2023-01-24 00:00:00+00:00,1.2000200597327706e-05,111567357.8198505,3892860.675329744
2023-01-25 00:00:00+00:00,1.1501836201062822e-05,107756093.05924736,3382665.379768825
2023-01-26 00:00:00+00:00,1.1197101970156897e-05,104159175.34833576,3693972.186839353
2023-01-27 00:00:00+00:00,1.1262386583268843e-05,104753739.4399682,2650159.632412454
2023-01-28 00:00:00+00:00,1.573311940970655e-05,147275507.09695116,9353289.622396177
2023-01-29 00:00:00+00:00,2.089741642030707e-05,197625102.74574456,19690718.66898136
2023-01-30 00:00:00+00:00,2.3464864668409905e-05,217005199.8265192,37503855.37338392
2023-01-31 00:00:00+00:00,2.4823051778526185e-05,230769798.060229,25010931.66861729
2023-02-01 00:00:00+00:00,2.457790834607733e-05,228827095.6885339,19342086.38090312
2023-02-02 00:00:00+00:00,2.579681200280524e-05,240436662.284812,13974320.7848754
2023-02-03 00:00:00+00:00,2.5720729221175853e-05,239957046.95277375,11845923.011333914
2023-02-04 00:00:00+00:00,2.531701628371029e-05,232776614.6037649,11479866.30394988
2023-02-05 00:00:00+00:00,3.174296752155042e-05,289967247.80272526,34360497.35983448
2023-02-06 00:00:00+00:00,2.8412852695326167e-05,261080136.46111575,22636297.88485148
2023-02-07 00:00:00+00:00,3.172719878947583e-05,290622249.2394864,26465142.951239925
2023-02-08 00:00:00+00:00,3.24342916807644e-05,297983880.6292398,19563732.23139523
2023-02-09 00:00:00+00:00,2.960953052463244e-05,271065170.48947453,18097159.307506096
2023-02-10 00:00:00+00:00,2.348446590419551e-05,230196781.75751376,22167392.262124624
2023-02-11 00:00:00+00:00,2.060677179043443e-05,201991975.69202247,20346106.603396155
2023-02-12 00:00:00+00:00,2.3674945182029724e-05,232348987.96384296,12998207.413837388
2023-02-13 00:00:00+00:00,2.271062336487055e-05,222176116.07390395,14261562.5976482
2023-02-14 00:00:00+00:00,2.1246102365161902e-05,208493132.92435455,13565322.172075752
2023-02-15 00:00:00+00:00,2.2784688846698907e-05,222747497.45362416,15685288.251953082
2023-02-16 00:00:00+00:00,3.694390083456165e-05,360802058.40055496,119231097.54068688
2023-02-17 00:00:00+00:00,5.608150254864178e-05,557661181.3611921,196682473.80416825
2023-02-18 00:00:00+00:00,5.456270229471153e-05,532919666.9541642,174328707.33234447
2023-02-19 00:00:00+00:00,5.086232719859504e-05,497597547.6068954,82395410.83334813
2023-02-20 00:00:00+00:00,4.731175711001672e-05,469426228.0531325,37863407.10343219
