snapped_at,price,market_cap,total_volume
2023-12-13 00:00:00+00:00,1.1503812954913118e-05,702445541.932451,109028911.6067486
2023-12-14 00:00:00+00:00,1.3101482584873667e-05,799994695.8983488,239736324.87345868
2023-12-15 00:00:00+00:00,2.5489000294184263e-05,1585653341.538448,322266234.1487516
2023-12-16 00:00:00+00:00,2.363226074940133e-05,1439823257.917404,1729243120.052987
2023-12-17 00:00:00+00:00,2.1854856213003795e-05,1324093861.9992604,707979853.3483443
2023-12-18 00:00:00+00:00,2.294991425902276e-05,1392435444.9641223,520710006.3659076
2023-12-19 00:00:00+00:00,2.0879830668825264e-05,1275206980.0986035,420089436.2095311
2023-12-20 00:00:00+00:00,1.8987604203111693e-05,1155362080.4258423,293273091.70267403
2023-12-21 00:00:00+00:00,1.8812167087202813e-05,1143355039.4633183,380528214.9975612
2023-12-22 00:00:00+00:00,2.0762131685876784e-05,1268992235.7555578,416853939.360116
2023-12-23 00:00:00+00:00,1.9408370384346102e-05,1181538731.6075137,321385644.6322547
2023-12-24 00:00:00+00:00,1.9966069554304355e-05,1208162709.5170102,201961847.93103397
2023-12-25 00:00:00+00:00,1.818828706104206e-05,1110209509.1259992,156347031.83500412
2023-12-26 00:00:00+00:00,1.8803845637378453e-05,1144321933.4564042,166017996.6065971
2023-12-27 00:00:00+00:00,1.6069558553780584e-05,973797503.9557352,228253774.2911504
2023-12-28 00:00:00+00:00,1.4556729116284012e-05,884481458.5450883,185060881.86444783
2023-12-29 00:00:00+00:00,1.50723798374651e-05,920617251.4159756,322587377.6016089
2023-12-30 00:00:00+00:00,1.4782793702145105e-05,896458229.9610138,356845201.3975426
2023-12-31 00:00:00+00:00,1.4077866653268218e-05,856705121.4553249,102563064.69533804
2024-01-01 00:00:00+00:00,1.3338293873369871e-05,812108450.4270177,90314947.8744352
2024-01-02 00:00:00+00:00,1.482439202223785e-05,897493569.3603286,105564755.7868216
2024-01-03 00:00:00+00:00,1.3506670086666096e-05,820785169.9444842,127145495.13887748
2024-01-04 00:00:00+00:00,1.159032292603668e-05,704235105.5997313,130268872.777033
2024-01-05 00:00:00+00:00,1.195770087466001e-05,728232573.3144802,101952271.9983006
2024-01-06 00:00:00+00:00,1.1089720754156594e-05,676436185.7616705,77255146.74335422
2024-01-07 00:00:00+00:00,1.076530244930573e-05,656438835.2908462,78375095.22221097
2024-01-08 00:00:00+00:00,1.0307605970092636e-05,618871242.6175478,87610800.48497257
2024-01-09 00:00:00+00:00,1.2151172470635671e-05,739050728.8542839,217350969.3851118
2024-01-10 00:00:00+00:00,1.4010170029604398e-05,850561043.1980023,447617253.65234935
2024-01-11 00:00:00+00:00,1.6135679333136833e-05,992598867.7263802,603470094.6104727
2024-01-12 00:00:00+00:00,1.6098372934174655e-05,981669507.9967456,378515109.7185544
2024-01-13 00:00:00+00:00,1.377278679255488e-05,835750987.46339,223908891.7494332
2024-01-14 00:00:00+00:00,1.5392736285992907e-05,937255998.3907351,216595724.79453933
2024-01-15 00:00:00+00:00,1.4321405644569117e-05,870536282.3433017,165607928.1904442
2024-01-16 00:00:00+00:00,1.372499964432746e-05,836073727.1059004,126696342.95520616
2024-01-17 00:00:00+00:00,1.407385087620652e-05,856389662.0617893,107918015.81317154
2024-01-18 00:00:00+00:00,1.3379481000019964e-05,813332895.0899974,98613237.07181728
2024-01-19 00:00:00+00:00,1.2051664623913024e-05,733658361.1007717,95125324.45416428
2024-01-20 00:00:00+00:00,1.1952763698276886e-05,726099094.4724617,68195089.97161908
2024-01-21 00:00:00+00:00,1.1662943104853894e-05,710722205.053277,43219512.59389125
2024-01-22 00:00:00+00:00,1.139338177865985e-05,695151206.8045772,37062809.55284564
2024-01-23 00:00:00+00:00,1.0387071212216824e-05,631869623.5689436,65781527.06509946
2024-01-24 00:00:00+00:00,1.0805154598421271e-05,653834111.3219924,77373242.32961203
2024-01-25 00:00:00+00:00,1.1080650395972968e-05,671993226.5078202,76069664.61476882
2024-01-26 00:00:00+00:00,1.126597955659288e-05,685016639.3787688,68946980.3482629
2024-01-27 00:00:00+00:00,1.1834557557249682e-05,720699200.113145,92521677.960775
2024-01-28 00:00:00+00:00,1.1663629715630198e-05,710568824.6383369,45472338.94512364
2024-01-29 00:00:00+00:00,1.1608455017390602e-05,704035798.2144979,84761761.70550187
2024-01-30 00:00:00+00:00,1.2006331989425085e-05,730993855.4097387,64198124.91955543
2024-01-31 00:00:00+00:00,1.1273289203649656e-05,684550318.6612686,61326687.285985865
2024-02-01 00:00:00+00:00,1.065231588338366e-05,651332541.4367063,67748216.98940232
2024-02-02 00:00:00+00:00,1.0722488566258612e-05,652453056.132519,44355396.58129796
2024-02-03 00:00:00+00:00,1.0535787462320896e-05,641384577.788242,38669699.10619642
2024-02-04 00:00:00+00:00,1.0353171415565807e-05,629503161.1315831,23161509.69450231
2024-02-05 00:00:00+00:00,1.007776329787613e-05,612381832.5504866,29856359.27657065
2024-02-06 00:00:00+00:00,1.0145877032494384e-05,616176581.0773637,49070213.695041485
