snapped_at,price,market_cap,total_volume
2021-05-21 00:00:00 UTC,3.415229624257236e-06,0.0,278408651.5366976
2021-05-22 00:00:00 UTC,3.415229624257236e-06,0.0,278408651.5366976
2021-05-23 00:00:00 UTC,3.852041230046293e-06,0.0,171592805.56999597
2021-05-24 00:00:00 UTC,2.9233686283875014e-06,0.0,244830609.46894678
2021-05-25 00:00:00 UTC,3.14602333464565e-06,0.0,526664212.64806306
2021-05-26 00:00:00 UTC,3.2528449026486206e-06,0.0,385783879.1697048
2021-05-27 00:00:00 UTC,3.6925904487083437e-06,0.0,379241452.77477545
2021-05-28 00:00:00 UTC,3.8861582869672445e-06,0.0,505032378.8389819
2021-05-29 00:00:00 UTC,3.9572183588325155e-06,0.0,95583961.26237634
2021-05-30 00:00:00 UTC,3.5679089661583404e-06,0.0,91269106.5281112
2021-05-31 00:00:00 UTC,3.552601282485196e-06,0.0,147495094.1985741
2021-06-01 00:00:00 UTC,3.6175689057311195e-06,0.0,268475450.37852633
2021-06-02 00:00:00 UTC,3.4212812881963127e-06,0.0,206181068.9438162
2021-06-03 00:00:00 UTC,3.228412882926795e-06,0.0,222875584.49486935
2021-06-04 00:00:00 UTC,3.4615422793837076e-06,0.0,200247914.74486214
2021-06-05 00:00:00 UTC,3.107395380569502e-06,62150648.31525744,169590623.63588625
2021-06-06 00:00:00 UTC,3.189692007783893e-06,63647452.36711142,185978263.02901846
2021-06-07 00:00:00 UTC,3.0285497881899133e-06,60634413.48208116,153710811.304891
2021-06-08 00:00:00 UTC,2.749887109334309e-06,54587385.93373503,115763976.87580699
2021-06-09 00:00:00 UTC,2.5940989135169214e-06,52173061.029866844,399725023.720504
2021-06-10 00:00:00 UTC,2.494571765405246e-06,50255827.34560929,114824544.1981882
2021-06-11 00:00:00 UTC,2.4077993802481056e-06,48236829.61388941,302421180.7664937
2021-06-12 00:00:00 UTC,2.418211976941976e-06,48200661.84079596,116678655.69656225
2021-06-13 00:00:00 UTC,2.32303439554773e-06,46646413.58302702,33472439.7226021
